name,category,description,mechanism,ingredient_name
Pea Protein Isolate,Sports & Performance,Hypoallergenic plant protein from yellow peas,"Contains all nine essential amino acids with a DIAAS (digestible indispensable amino acid score) of approximately 0.82, with methionine as the limiting amino acid. Upon digestion, releases amino acids and di/tripeptides that activate mTORC1-mediated muscle protein synthesis signalling, with leucine content (~8% of total amino acids) sufficient to trigger a near-maximal MPS response at equivalent doses to whey in resistance-trained individuals. Being hypoallergenic and free from lactose, soy isoflavones, and gluten, it is suitable for those with dairy, soy, or gluten intolerances.",Pea Protein
Rice Protein Concentrate,Sports & Performance,Complementary plant protein from brown rice,"Brown rice protein, while lower in lysine than whey or pea protein, provides a complementary amino acid profile that meaningfully improves the overall essential amino acid score when blended with pea protein (which is lower in methionine). Digested at a moderate rate, providing a sustained amino acid availability profile. Germinated brown rice protein also contains gamma-aminobutyric acid (GABA) precursors that may contribute mild calming effects alongside the structural protein function.",Rice Protein
Creatine Monohydrate,Sports & Performance,Most studied form of creatine for ATP regeneration and power output,"Taken up into skeletal and cardiac muscle via the sodium- and chloride-dependent creatine transporter (SLC6A8) and phosphorylated by creatine kinase (CK) to phosphocreatine (PCr). During maximal-intensity muscle contractions (lasting 1–10 seconds), PCr rapidly regenerates ATP from ADP, maintaining peak power output before oxidative and glycolytic pathways can fully activate. Creatine supplementation increases total intramuscular creatine and PCr stores by approximately 20%, delaying the fall in PCr-dependent power output; this is the only EFSA-authorised health claim for a sports ingredient.",Creatine Monohydrate
Lysine HCl,Sports & Performance,Essential amino acid for protein synthesis and collagen formation,"An indispensable amino acid that is the primary limiting amino acid in most cereal-based plant proteins. Hydroxylated at specific residues by lysyl hydroxylase (a vitamin C-dependent iron enzyme) to form hydroxylysine in collagen chains; hydroxylysine residues are then oxidised by lysyl oxidase (copper-dependent) to form pyridinoline cross-links that give collagen its tensile strength. Lysine also serves as the rate-limiting precursor (with methionine) for the hepatic and renal biosynthesis of carnitine, the obligatory carrier for long-chain fatty acid entry into the mitochondrial matrix for beta-oxidation.",EAAs (Essential Amino Acids)
Threonine,Sports & Performance,Essential amino acid for gut integrity and immune function,"An indispensable amino acid that is the most abundant amino acid in intestinal mucins, the glycoproteins secreted by goblet cells that form the protective mucus gel layer coating the gut epithelium, preventing bacterial adhesion and enterocyte damage. Threonine is also a direct precursor for glycine (via threonine aldolase) and serine, amino acids required for purine nucleotide synthesis, glutathione production, and one-carbon metabolism. Adequate threonine availability supports immunoglobulin protein structure, underpinning mucosal immune defence.",EAAs (Essential Amino Acids)
Hydrolyzed Collagen Peptides (Type I/III),Joint & Connective Tissue,Pre-digested collagen peptides for skin and connective tissue absorption,"Small peptides generated by enzymatic hydrolysis (particularly Pro-Hyp and Gly-Pro-Hyp di- and tripeptides) resist further digestion and are absorbed intact via the intestinal oligopeptide transporter PepT1. These peptides accumulate in the dermis, cartilage, and connective tissue where they stimulate fibroblasts and chondrocytes to increase collagen and hyaluronic acid synthesis, likely via binding to the discoidin domain receptor DDR2 and stimulating TGF-β1 signalling. Clinical trials (including work published in the British Journal of Nutrition) show improvements in skin elasticity and hydration and reductions in joint pain scores.",Collagen (Type I/III)
L-Beta-Alanine,Sports & Performance,Precursor to carnosine; buffers intramuscular acid during exercise,"The rate-limiting precursor for the intramuscular synthesis of carnosine (beta-alanyl-L-histidine) by carnosine synthase in skeletal muscle, primarily in fast-twitch (type II) fibres. Carnosine functions as a physiological pH buffer (pKa ~6.83), accepting protons produced during anaerobic glycolysis to attenuate the fall in intramuscular pH during high-intensity exercise, delaying contractile failure and muscular fatigue. A systematic review and meta-analysis (Hobson et al., 2012) demonstrated significant performance improvements in exercise tasks lasting 1–4 minutes with chronic beta-alanine supplementation.",Beta-Alanine
Lactobacillus acidophilus,Gut & Digestive Health,Lactic acid bacteria for gut flora balance,"Colonises the small intestinal epithelium via adhesion to mucin and fibronectin, producing lactic acid and hydrogen peroxide that reduce luminal pH and inhibit competitive pathogenic bacteria (Clostridioides difficile, Salmonella, H. pylori). Interacts with intestinal epithelial and dendritic cells via Toll-like receptor 2 (TLR2), activating NF-κB-regulated cytokine responses that promote regulatory T-cell (Treg) differentiation and mucosal IgA production, reducing pro-inflammatory IL-6 and TNF-α secretion. Produces bacteriocins (acidocin, lactacin) that further limit pathogen colonisation.",Probiotic Cultures
Bifidobacterium longum,Gut & Digestive Health,Beneficial bifidobacteria for gut health and immunity,"Colonises the large intestine and metabolises non-digestible oligosaccharides (inulin, FOS, GOS) via the bifid shunt pathway, producing acetic acid and lactic acid. Fermentation also yields butyrate indirectly (cross-feeding butyrogenic bacteria), which nourishes colonocytes, reinforces epithelial tight junction proteins (claudin-1, occludin, ZO-1), and signals via free fatty acid receptors FFAR2/FFAR3 on enteroendocrine cells to modulate gut-brain axis hormones (PYY, GLP-1). Reduces intestinal permeability and systemic inflammatory cytokine levels in randomised trials.",Probiotic Cultures
Inulin,Gut & Digestive Health,Fructooligosaccharide prebiotic fiber from chicory root,"Resists hydrolysis by human digestive enzymes (lacks a beta-fructosidase) and reaches the colon intact, where it is selectively fermented by Bifidobacterium and Lactobacillus species as defined by the updated prebiotic definition (Gibson et al., 2017, Nature Reviews Gastroenterology). Fermentation produces short-chain fatty acids (SCFAs) — primarily butyrate, propionate, and acetate — which acidify the colonic environment, inhibit pathogen growth, provide energy to colonocytes (butyrate is the preferred fuel), and signal via FFAR2 to reduce hepatic lipogenesis and improve insulin sensitivity. EFSA has authorised the health claim that chicory inulin improves bowel function by increasing stool frequency.",Inulin (Prebiotic)
Acetic Acid,Gut & Digestive Health,Active antimicrobial component of apple cider vinegar,"Dissociates to acetate and protons in the gastrointestinal lumen; in its undissociated form penetrates bacterial cell walls, acidifying the cytoplasm and disrupting energy metabolism, providing antimicrobial activity against a broad spectrum of pathogens. Absorbed acetate is converted to acetyl-CoA and metabolised via the TCA cycle; proposed mechanisms for blood glucose attenuation include delayed gastric emptying (reducing the rate of carbohydrate absorption), inhibition of salivary and pancreatic amylase activity, and AMPK activation in the liver suppressing gluconeogenesis. Evidence supports modest acute reductions in postprandial glycaemia at doses of 15–30 mL diluted vinegar.",Acetic Acid (ACV)
L-Glutamine,Gut & Digestive Health,Most abundant free amino acid; primary fuel for gut epithelial cells,"The principal nitrogen-transporting amino acid between the gut, liver, and peripheral tissues; serves as the obligate metabolic fuel for rapidly proliferating cells including enterocytes, colonocytes, and lymphocytes, which consume glutamine via glutaminolysis rather than primarily oxidising glucose. Regulates intestinal tight junction protein expression (claudin-3, occludin, and ZO-1) via EGFR and mTOR pathways, maintaining epithelial barrier integrity and reducing paracellular permeability. Also the primary precursor for glutamate and hence the tripeptide antioxidant glutathione (GSH) in both intestinal and immune cells.",L-Glutamine
Acemannan,Gut & Digestive Health,Acetylated polysaccharide from aloe vera inner leaf gel,"A beta-(1→4)-acetylated mannan polysaccharide that resists small intestinal hydrolysis and is recognised by mannose receptors and TLR4 on macrophages and dendritic cells in the colon and lamina propria, triggering innate immune activation and pro-inflammatory cytokine production (IL-1, IL-6, TNF-α) that can enhance local mucosal defence. Also stimulates fibroblast proliferation and migration via upregulation of TGF-beta1 and VEGF, promoting wound healing and mucosal repair of damaged epithelium. Exhibits prebiotic-like activity by serving as a fermentable substrate for colonic microbiota.",Aloe Vera
Mucilage Polysaccharides,Gut & Digestive Health,Hydrophilic plant gum from slippery elm inner bark,"A complex mixture of rhamnose, galactose, and glucuronic acid-containing polysaccharides that absorb large quantities of water (up to 60 times their own weight) to form a viscous, non-digestible gel upon contact with the gastrointestinal mucosa. This gel physically coats the mucosal surface, forming a protective demulcent barrier that reduces direct contact between luminal acid, pepsin, and bile with inflamed or irritated epithelial cells, providing symptomatic relief in conditions such as reflux, IBS, and intestinal inflammation. The polysaccharides also serve as a prebiotic substrate and may stimulate mucus secretion from goblet cells.",Slippery Elm
Orthosilicic Acid,Joint & Connective Tissue,Bioavailable silicon form for connective tissue and hair strength,"The monomeric, soluble form of silicon (Si(OH)₄) that is absorbed in the proximal small intestine via passive diffusion and transported in plasma at physiological concentrations of 10–30 µmol/L. Stimulates collagen type I synthesis in fibroblasts and osteoblasts via activation of the MAPK/ERK signalling pathway, promoting collagen cross-link formation and connective tissue tensile strength. Silicon is also incorporated into glycosaminoglycan and proteoglycan matrices of cartilage and bone, and into the keratin matrix of hair cortex cells, with epidemiological associations between dietary silicon intake and bone mineral density reported in UK cohort studies.",Silica
Glucosamine Sulfate,Joint & Connective Tissue,Amino sugar for cartilage matrix synthesis and joint lubrication,"Provides the amino sugar backbone for the biosynthesis of glycosaminoglycans (GAGs) — hyaluronic acid, keratan sulfate, and chondroitin sulfate — which are incorporated into aggrecan and other proteoglycans of the articular cartilage extracellular matrix. Also inhibits NF-κB activation in chondrocytes, reducing transcription of matrix metalloproteinases (MMP-3, MMP-13) and pro-inflammatory cytokines (IL-1β, TNF-α) that drive cartilage degradation in osteoarthritis. NICE guidance on osteoarthritis (CG177) notes that glucosamine has modest evidence for symptom relief but does not recommend it on the NHS.",
Chondroitin Sulfate,Joint & Connective Tissue,Glycosaminoglycan for cartilage water retention and shock absorption,"A highly sulfated glycosaminoglycan (GAG) consisting of alternating N-acetylgalactosamine and glucuronic acid units that is covalently attached to aggrecan core protein within the cartilage extracellular matrix. The dense negative charge from sulfate groups attracts water molecules (Donnan osmotic effect), maintaining articular cartilage hydration, viscoelasticity, and compressive load-bearing capacity. Inhibits aggrecanase (ADAMTS) and matrix metalloproteinase (MMP) activity, protecting the GAG matrix from enzymatic degradation driven by IL-1β and TNF-α in the inflammatory joint environment.",
Curcuminoids,Botanicals & Herbals,Polyphenolic pigments from turmeric rhizome; modulate inflammation pathways,"Curcumin, demethoxycurcumin, and bisdemethoxycurcumin inhibit the IκB kinase (IKK) complex, preventing NF-κB phosphorylation and nuclear translocation, thereby suppressing transcription of COX-2, iNOS, and pro-inflammatory cytokines (IL-1β, IL-6, TNF-α) across multiple cell types. Simultaneously activates the Nrf2-Keap1 antioxidant pathway, upregulating phase II detoxification enzymes (HO-1, NQO1, glutathione S-transferases) and boosting cellular antioxidant capacity. Oral bioavailability is limited by rapid glucuronidation and sulfation; co-administration with piperine (black pepper extract) inhibits glucuronidation and increases systemic curcuminoid exposure approximately 20-fold.",Turmeric (Curcumin)
Methylsulfonylmethane,Joint & Connective Tissue,Bioavailable organic sulfur compound for joint and tissue support,"Provides bioavailable organic sulfur required for the post-translational synthesis of cysteine residues in cartilage and connective tissue proteins, and for glutathione biosynthesis (the primary intracellular antioxidant tripeptide). Inhibits IκB kinase and NF-κB nuclear translocation, reducing COX-2 expression and IL-1β, IL-6, and TNF-α production in synoviocytes and chondrocytes exposed to inflammatory stimuli. Also demonstrates direct free-radical scavenging activity in oxidatively stressed musculoskeletal tissue; clinical trials report reductions in joint pain and swelling with 3 g/day supplementation.",
Harpagoside,Botanicals & Herbals,Iridoid glycoside from devil's claw root with anti-inflammatory activity,"Harpagoside and its aglycone harpagogenin inhibit NF-κB nuclear translocation by stabilising IκBα, thereby blocking transcription of COX-2, 5-lipoxygenase (5-LOX), and inducible nitric oxide synthase (iNOS), reducing synthesis of prostaglandins, leukotrienes, and nitric oxide in inflamed tissue. Also inhibits the release of TNF-α and IL-1β from lipopolysaccharide-stimulated macrophages via mechanisms distinct from conventional NSAIDs, without inhibiting the constitutive COX-1 isoform. The European Medicines Agency (EMA) has approved a well-established use monograph for Harpagophytum procumbens in the symptomatic relief of musculoskeletal pain.",Devil's Claw
Anthocyanins,Botanicals & Herbals,Flavonoid pigments from elderberry with antiviral and antioxidant properties,"Cyanidin-3-glucoside and cyanidin-3-sambubioside, the predominant anthocyanins in Sambucus nigra, bind directly to the haemagglutinin surface protein of influenza virions, preventing attachment to sialic acid residues on host respiratory epithelial cells and blocking cellular entry. Also stimulate production of cytokines (IL-1β, TNF-α, IL-6, and IL-8) from human monocytes, enhancing the innate immune response during early viral infection. Anthocyanins act as potent free-radical scavengers (particularly of superoxide and hydroxyl radicals), protecting respiratory epithelial cells from oxidative damage associated with respiratory infections.",Elderberry
Choline Bitartrate,Vitamins,Salt form of choline for acetylcholine synthesis and membrane support,"Choline is taken up by cholinergic neurons via the high-affinity choline transporter (CHT1) and converted to acetylcholine by choline acetyltransferase (ChAT) using acetyl-CoA; acetylcholine is then stored in synaptic vesicles and released as the neurotransmitter for both peripheral (neuromuscular junction) and central cholinergic circuits (memory, attention, parasympathetic function). Also incorporated as the polar head group of phosphatidylcholine, the dominant phospholipid of all cell membranes, and serves as a methyl donor via conversion to betaine in the BHMT pathway, linking choline metabolism to one-carbon and homocysteine metabolism. EFSA has authorised health claims for choline supporting normal lipid metabolism and liver function.",Choline
Gamma-Linolenic Acid (GLA),Fatty Acids & Lipids,Omega-6 from evening primrose seed; supports hormonal and skin health,"GLA is elongated to dihomo-gamma-linolenic acid (DGLA) by elongase ELOVL5 in cell membranes, which serves as the direct precursor for prostaglandin E1 (PGE1). PGE1 activates adenylate cyclase, raising intracellular cAMP and inhibiting platelet aggregation, reducing T-cell IL-2 production and NK cell cytotoxicity — an overall anti-inflammatory profile that competes with the pro-inflammatory AA/PGE2 pathway. DGLA incorporation into the skin phospholipid matrix also maintains the ceramide-rich lipid bilayer of the stratum corneum, reducing transepidermal water loss and supporting skin barrier integrity.",Evening Primrose Oil (GLA)
Diindolylmethane (DIM),Botanicals & Herbals,Condensation product of indole-3-carbinol from cruciferous vegetables,"Formed from indole-3-carbinol via acid-catalysed condensation in the stomach; DIM is absorbed and induces cytochrome P450 enzymes CYP1A1 and CYP1A2 in hepatocytes, shifting oestradiol hydroxylation from the pro-proliferative 16α-hydroxyoestrone (16α-OHE1) pathway towards the protective 2-hydroxyoestrone (2-OHE1) pathway, favourably altering the 2:16 oestrogen metabolite ratio. Also acts as a potent aryl hydrocarbon receptor (AhR) ligand, modulating immune cell differentiation (promoting Treg over Th17 phenotypes) and inhibiting androgen receptor nuclear translocation in prostate cells.",DIM
Macamides,Botanicals & Herbals,Fatty acid amides unique to maca root; associated with energy and mood,"Benzylamine derivatives of long-chain fatty acids unique to Lepidium meyenii; structurally analogous to endocannabinoid fatty acid amides (anandamide/AEA), they inhibit fatty acid amide hydrolase (FAAH), the enzyme responsible for endocannabinoid degradation, thereby increasing endocannabinoid tone at CB1 and CB2 receptors. Are also proposed to modulate monoamine neurotransmitter reuptake (dopamine, norepinephrine) in the hypothalamus, potentially contributing to the pro-energetic and mood-associated effects reported in clinical trials. Direct human mechanistic studies are limited and the full receptor-level pharmacology remains under active investigation.",Maca
Macaenes,Botanicals & Herbals,Polyunsaturated acids from maca root with adaptogenic properties,"Glucosinolate-derived polyunsaturated fatty acids (including 5-oxo C18:3 and related structures) found exclusively in maca root with proposed modulatory effects on hypothalamic-pituitary-gonadal (HPG) and hypothalamic-pituitary-adrenal (HPA) axis signalling. Animal studies suggest upregulation of hypothalamic GnRH pulsatility, potentially contributing to increases in LH and downstream sex hormone levels; however, direct receptor-binding and enzyme-inhibition data in humans are limited. The adaptogenic profile of maca likely reflects the combined action of macaenes and macamides rather than either compound class alone.",Maca
Beta-Sitosterol,Botanicals & Herbals,Plant sterol from saw palmetto; inhibits 5-alpha reductase,"A phytosterol that competitively inhibits both isoforms of 5-alpha reductase (SRD5A1 and SRD5A2), the enzyme that converts testosterone to the more potent androgen dihydrotestosterone (DHT) in prostate, skin, and hair follicle tissue. Reducing DHT production decreases its binding to androgen receptors in prostate stromal cells, limiting pro-proliferative signalling implicated in benign prostatic hyperplasia (BPH). Also inhibits cholesterol esterification in the prostate cell membrane, affecting receptor-lipid raft organisation. The EMA has published a well-established-use monograph for Serenoa repens extract in lower urinary tract symptoms.",Saw Palmetto
Lauric Acid,Botanicals & Herbals,Medium-chain saturated fatty acid from saw palmetto berries,"A C12 saturated fatty acid found at high concentration in the lipidosterolic extract of saw palmetto; proposed to inhibit prolactin receptor signalling in prostate epithelial cells, which otherwise upregulates 5-alpha reductase expression and activity, complementing the direct enzyme inhibition by beta-sitosterol. Also demonstrates anti-inflammatory activity by inhibiting COX-1 and COX-2 enzyme activity and modulating arachidonic acid release from prostate cell membranes. Lauric acid's medium-chain length means it is absorbed directly via the portal circulation (bypassing chylomicron formation) and rapidly metabolised as an energy substrate.",Saw Palmetto
Protodioscin,Botanicals & Herbals,Steroidal saponin from tribulus terrestris; supports luteinising hormone,"A furostanol steroidal saponin from Tribulus terrestris roots proposed to stimulate the hypothalamic-pituitary axis, increasing secretion of luteinising hormone (LH) and, secondarily, testosterone production in Leydig cells of the testes via the cAMP-PKA-StAR signalling cascade. Some evidence suggests protodioscin may also be converted peripherally to dehydroepiandrosterone (DHEA), a testosterone precursor. Clinical evidence for testosterone elevation in healthy eugonadal men is inconsistent and weak; EFSA has not authorised a health claim, and mechanistic human data require further robust investigation.",Tribulus
Zinc Monomethionine,Minerals,Chelated zinc with methionine for superior absorption and retention,"Zn²⁺ chelated with L-methionine in a 1:1 complex, allowing absorption via both the zinc-specific ZIP4 transporter and the methionine-utilising neutral amino acid transporter (B⁰AT1), providing dual uptake pathways. The chelate resists forming insoluble complexes with phytate and phosphate in the gut lumen, improving net zinc bioavailability compared with inorganic zinc salts. Once absorbed, the methionine moiety serves as an essential amino acid and S-adenosylmethionine (SAM) precursor for methylation reactions, providing independent nutritional value beyond the zinc delivery.",Zinc
Magnesium Aspartate,Minerals,Chelated magnesium with good neurological bioavailability,"Mg²⁺ chelated with aspartic acid provides absorption via both ionic Mg²⁺ transporters (TRPM6/TRPM7) and aspartate-utilising amino acid transporter pathways. Aspartate, once separated intracellularly, feeds directly into the malate-aspartate shuttle — the primary mechanism for transferring cytosolic NADH reducing equivalents into the mitochondrial matrix — and into the urea cycle and purine synthesis, potentially synergising with magnesium's role in Mg-ATP complex formation and mitochondrial energy production. Of interest in neurological contexts as aspartate is a neurotransmitter precursor and cerebral metabolic substrate.",Magnesium
Fulvic Acid,Botanicals & Herbals,Low-molecular-weight humic substance from shilajit; mineral transport aid,"A complex mixture of low-molecular-weight organic acids (molecular weight 500–2,000 Da) formed by microbial decomposition of plant organic matter in compressed Himalayan rock sediments. Contains multiple quinone/hydroquinone functional groups capable of acting as electron carriers, shuttling electrons between redox states in a manner analogous to CoQ10, potentially enhancing mitochondrial Complex I activity and cellular ATP production. Forms soluble chelate complexes with mineral cations, improving their intestinal uptake; also reported to inhibit tau protein hyperphosphorylation in neuronal cell models, relevant to neurodegenerative disease research.",Shilajit
Dibenzo-alpha-pyrones,Botanicals & Herbals,Oxygenated compounds unique to authentic shilajit resin,"Dibenzo-alpha-pyrones (DBPs) and their metabolites (DBP-chromoproteins) are oxygenated heterocyclic compounds unique to authentic shilajit, first characterised by S. Ghosal. They act as electron carriers in the mitochondrial electron transport chain, recycling CoQ10 from its oxidised form (ubiquinone) back to the active reduced form (ubiquinol), thereby enhancing electron transfer efficiency at Complex I and III and increasing net ATP synthesis in skeletal muscle mitochondria. Human studies using NMR spectroscopy demonstrate increased mitochondrial ATP production and reduced post-exercise lactate accumulation with shilajit supplementation.",Shilajit
4-Hydroxyisoleucine,Botanicals & Herbals,Amino acid from fenugreek for insulin sensitisation and glucose uptake,"A non-protein amino acid found almost exclusively in fenugreek seeds that directly stimulates insulin secretion from isolated pancreatic beta cells in a glucose-dependent manner. The proposed mechanism involves closure of ATP-sensitive potassium channels (K_ATP) upon entry into beta cells, causing membrane depolarisation and voltage-gated calcium channel opening — the same pathway as sulfonylurea drugs, but only activated above normal fasting glucose concentrations, reducing hypoglycaemia risk. In vivo studies in diabetic animal models show significant reductions in fasting glucose and HbA1c at doses achievable from supplementation.",
Furostanolic Saponins,Botanicals & Herbals,Steroidal saponins from fenugreek supporting testosterone metabolism,"Furostanol saponins (including protodioscin, trigoneoside, and diosgenin precursors) undergo bacterial hydrolysis in the gut to yield sapogenin aglycones that are absorbed and may inhibit aromatase (CYP19A1), the enzyme converting testosterone to oestradiol, potentially shifting the androgen-oestrogen balance. Also proposed to stimulate luteinising hormone (LH) and follicle-stimulating hormone (FSH) secretion at the pituitary level, supporting Leydig cell testosterone biosynthesis. Randomised controlled trials (including Wankhede et al., 2016, J Int Soc Sports Nutr) report modest increases in free testosterone and improvements in body composition with standardised fenugreek extract.",
