name,slug,form,description,image_url
Skin Hair and Nails,skin-hair-and-nails,tablet,"Skin, hair, and nails combination supplements typically provide a blend of nutrients with EFSA-authorised health claims for these specific body systems, including biotin (which contributes to the maintenance of normal hair and normal skin), zinc (which contributes to the maintenance of normal skin, hair, and nails), vitamin C (which contributes to normal collagen formation for normal skin), and selenium (which contributes to the maintenance of normal nails and normal hair). Deficiency in any of these nutrients can contribute to changes in hair, skin, and nail quality, though in the absence of a true nutritional deficiency, the additional benefit of supplementation for cosmetic improvement is not well established in clinical evidence.",/images/products/skinhairnails.webp

Glucosamine + Chondroitin,glucosamine-chondroitin,capsule,"Glucosamine and chondroitin are structural components of cartilage naturally found in the body; they are commonly taken together in supplement form by people looking to support joint comfort and mobility. The NHS notes that some people with osteoarthritis report that glucosamine supplements help ease their symptoms. These supplements are generally considered safe for most adults; however, glucosamine is derived from shellfish in most formulations, which is relevant to people with seafood allergies, and people with diabetes should monitor blood glucose levels as glucosamine may affect insulin sensitivity.",/images/products/glucosaminechondroitin.webp
MSM,msm,tablet,"MSM (methylsulfonylmethane) is an organic sulphur compound found in small amounts in many foods, including fruits, vegetables, grains, and milk; sulphur is an important component of several amino acids and plays a structural role in collagen, cartilage, and connective tissue. MSM is commonly taken alongside glucosamine and chondroitin for joint support. It is regulated as a food supplement in the UK under The Food Supplements (England) Regulations 2003; typical doses in studies are 1,500–3,000 mg per day and it is generally considered well-tolerated.",/images/products/msm.webp
Calcium + Vit D + Magnesium Combos,calcium-d-mag-combo,tablet,"This three-way combination tablet provides calcium, vitamin D, and magnesium — three nutrients that work synergistically to support the maintenance of normal bones and teeth. Calcium is the primary structural mineral of bone (adults need 700 mg/day); vitamin D is essential for normal calcium absorption (10 micrograms/day recommended by the NHS); and magnesium contributes to normal protein synthesis and bone maintenance (300 mg/day for men, 270 mg/day for women). The NHS recommends this combination particularly for older adults at risk of osteoporosis, though supplementation should complement — not replace — a balanced diet; do not exceed 1,500 mg calcium, 100 micrograms vitamin D, or 400 mg magnesium from supplements per day.",/images/products/calciumvitdmag.webp
Turmeric,turmeric,capsule,"Turmeric (Curcuma longa) is a culinary spice containing the active polyphenol curcumin, which has attracted significant scientific interest for its antioxidant and anti-inflammatory properties in laboratory studies. In the UK, turmeric is sold as a food supplement under The Food Supplements (England) Regulations 2003 and cannot claim to treat, prevent, or cure conditions such as arthritis; EFSA has not authorised a specific health claim for curcumin at this time. Curcumin has poor bioavailability on its own, which is why many supplements are formulated with piperine (black pepper extract) to enhance absorption; people taking anticoagulant medicines (e.g., warfarin), diabetes medication, or those due for surgery should consult their GP before use.",/images/products/turmeric.webp
Devil's Claw,devils-claw,capsule,"Devil's Claw (Harpagophytum procumbens) is a southern African plant root traditionally used in European herbal medicine to relieve mild joint and back pain; in the UK, some Devil's Claw products have been granted Traditional Herbal Registration (THR) by the MHRA, permitting their authorised use for the temporary relief of backache, rheumatic or muscular pain, and general aches and pains in muscles and joints, based on traditional use. THR products bear the THR logo and have been assessed for quality and safety, though efficacy evidence is based on traditional use rather than clinical trials. Devil's Claw may interact with anticoagulant medicines and antacids, and is not recommended during pregnancy; always consult a pharmacist if taking other medicines.",/images/products/devilsclaw.webp

Children's Multivitamin Gummies,childrens-multivitamin-gummies,gummy,"Children's multivitamin gummies are designed to provide a range of vitamins in a palatable format for children who may not get all nutrients from their diet. The NHS recommends that all children aged 6 months to 5 years take a daily supplement containing vitamins A, C, and D, as these are the nutrients most likely to be insufficient in young children's diets; children eligible for the Healthy Start programme can obtain free vitamin drops from their health visitor. Gummy supplements typically contain added sugars, so dental hygiene after consumption is important; parents should always follow the age-appropriate dosing instructions on the label and avoid giving multiple supplements simultaneously, as this can lead to excessive intake of fat-soluble vitamins.",/images/products/childrensmultivitgummies.webp
Baby Liquid Multivitamin Drops,baby-multivitamin-drops,drops,"Liquid vitamin drops for babies are specifically formulated to provide vitamins A, C, and D in a safe, age-appropriate liquid dose that can be added to food or dropped directly into the mouth. The NHS recommends vitamin drops containing these three vitamins for all breastfed babies from birth onwards, as breast milk alone may not provide sufficient vitamin D (and vitamin A and C in some cases); babies who drink more than 500 ml of infant formula per day do not need additional vitamins as formula is already fortified. The standard recommended dose of vitamin D for babies is 8.5–10 micrograms per day; parents should not exceed stated doses as excessive intake of vitamins A and D can be harmful to infants.",/images/products/babyliquidmultivit.webp
Vitamin D3 Drops,vitamin-d3-drops,drops,"Vitamin D3 drops provide cholecalciferol in a liquid format suitable for infants, young children, and adults who have difficulty swallowing tablets. The NHS recommends that breastfed babies from birth, and all children aged 1–4 years, take a daily supplement of 8.5–10 micrograms of vitamin D; adults should consider 10 micrograms daily during the autumn and winter months, and year-round if they have limited sun exposure, dark skin, or are housebound. Care should be taken to use an appropriately calibrated dropper to avoid exceeding the safe upper limit: 25 micrograms per day for infants under 12 months, 50 micrograms for children aged 1–10, and 100 micrograms for adults.",/images/products/vitd3drops.webp
Elderberry Syrup,elderberry-syrup,syrup,"Elderberry (Sambucus nigra) is a berry with a long tradition of use in European folk medicine, particularly for supporting the immune system during the winter cold and flu season; it is regulated in the UK as a food supplement and cannot make claims to prevent or treat viral infections. Some small clinical studies suggest elderberry extract may contribute to reduced duration of cold symptoms, though the evidence is not yet sufficient for EFSA to authorise a specific health claim. Raw elderberries and elderberry seeds contain cyanogenic glycosides (sambunigrin) which can cause nausea; commercial elderberry syrups are processed to make them safe, but consumers — particularly parents giving syrups to children — should purchase from reputable brands and always follow age-appropriate dosing on the label.",/images/products/elderberrysyrup.webp
Choline,choline,tablet,"Choline is an essential nutrient that contributes to normal lipid metabolism and the maintenance of normal liver function. The UK has not established a formal RNI for choline, but adequate intake levels are considered to be 400 mg per day for adults and higher during pregnancy (450 mg) and breastfeeding (550 mg), where it is important for foetal brain development. Choline is found in eggs, meat, fish, dairy, and cruciferous vegetables; supplementation is generally considered safe at doses up to 3.5 g per day, though higher intakes may cause a fishy body odour, low blood pressure, and sweating.",/images/products/choline.webp

Evening Primrose Oil,evening-primrose-oil,softgel,"Evening primrose oil (EPO) is derived from the seeds of Oenothera biennis and is a rich source of gamma-linolenic acid (GLA), an omega-6 fatty acid that the body uses to produce anti-inflammatory prostaglandins. It is commonly used by women for breast pain (mastalgia), symptoms of premenstrual syndrome (PMS), and menopausal discomfort; some products have Traditional Herbal Registration (THR) from the MHRA for the relief of breast pain associated with the menstrual cycle. The overall evidence from clinical trials is mixed; the NHS notes that EPO is unlikely to cause serious harm when taken as directed, but it may interact with blood-thinning medicines and could lower the seizure threshold in people with epilepsy.",/images/products/epo.webp
DIM,dim,capsule,"DIM (diindolylmethane) is a compound produced in the body from the digestion of indole-3-carbinol, found naturally in cruciferous vegetables such as broccoli, cauliflower, and Brussels sprouts; it is thought to support healthy oestrogen metabolism by promoting the production of less potent oestrogen metabolites. In the UK, DIM is sold as a food supplement under The Food Supplements (England) Regulations 2003 and cannot make hormonal treatment claims; EFSA has not issued an authorised health claim for DIM. Because DIM affects oestrogen pathways, women who are pregnant, breastfeeding, or taking hormone-based contraceptives or HRT should consult their GP before use; standard supplement doses are typically 100–300 mg per day.",/images/products/dim.webp
Maca Root,maca-root,capsule,"Maca (Lepidium meyenii) is a Peruvian root vegetable traditionally consumed as food and used in folk medicine to support energy, libido, and hormonal balance; it is classified as a food supplement in the UK under The Food Supplements (England) Regulations 2003 and cannot make medicinal claims. Some human clinical trials suggest maca may help support sexual function and menopausal well-being, though EFSA has not issued an authorised health claim for maca at this time due to insufficient evidence. Maca is generally considered safe when taken in amounts consistent with its use as a food; people with thyroid conditions should exercise caution as maca contains glucosinolates which may affect thyroid function, and pregnant or breastfeeding women should seek medical advice before use.",/images/products/macaroot.webp

Saw Palmetto,saw-palmetto,capsule,"Saw palmetto (Serenoa repens) is a small palm native to North America whose berry extract is commonly used to support urinary tract comfort in men, particularly in relation to symptoms associated with a normal ageing prostate. In the UK, saw palmetto is regulated as a food supplement under The Food Supplements (England) Regulations 2003; some European products have obtained registration for traditional use in relation to lower urinary tract symptoms, though EFSA has not issued an authorised health claim. Men experiencing significant urinary symptoms should always consult their GP to rule out underlying medical conditions before using any supplement.",/images/products/sawpalmetto.webp
Tribulus,tribulus,capsule,"Tribulus terrestris is a plant used in traditional Ayurvedic and Chinese medicine; it is commonly marketed in the UK as a men's supplement for supporting testosterone levels and physical performance, though clinical evidence for significant effects on testosterone in healthy men is limited and inconsistent. EFSA has not issued an authorised health claim for tribulus, and it is regulated as a food supplement in the UK under The Food Supplements (England) Regulations 2003 — meaning it cannot claim to treat hormonal conditions or enhance testosterone. Men on heart medicines, diabetes medication, or those with hormone-sensitive conditions should consult their GP before use.",/images/products/tribulus.webp
Zinc + Magnesium (ZMA),zma,capsule,"ZMA is a combination supplement providing zinc, magnesium, and vitamin B6, formulated to support normal testosterone levels, muscle recovery, and sleep quality in physically active individuals. Zinc contributes to the maintenance of normal testosterone levels in the blood and normal protein synthesis; magnesium contributes to a reduction in tiredness and fatigue and normal muscle function; and vitamin B6 contributes to normal protein and glycogen metabolism — all EFSA-authorised claims. The NHS recommends not exceeding 25 mg of zinc or 400 mg of magnesium per day from supplements; ZMA is intended for adults and should not be taken alongside other zinc or magnesium supplements to avoid exceeding safe upper limits.",/images/products/zincandmagnesium.webp
Shilajit,shilajit,resin,"Shilajit is a naturally occurring resinous exudate found in the Himalayas and other mountain ranges, traditionally used in Ayurvedic medicine as a rejuvenating tonic; it is rich in fulvic acid and trace minerals. In Great Britain, shilajit is subject to Novel Foods authorisation requirements, meaning it requires assessment and authorisation by the Food Standards Agency (FSA) before it can be legally sold as a food supplement; consumers should check that any product they purchase is linked to a valid FSA novel food application. Because of variability in raw material purity and the potential presence of heavy metals in some unprocessed forms, purchasing from brands with verified third-party testing is strongly advised; people with kidney disease, haemochromatosis, or those on blood-thinning medications should consult a GP before use.",/images/products/shilajit.webp
Fenugreek,fenugreek,capsule,"Fenugreek (Trigonella foenum-graecum) is a culinary herb and traditional herbal medicine used in South Asian and Middle Eastern cultures; it is commonly taken in the UK as a supplement by men to support testosterone and libido, and by breastfeeding women to support milk production, though clinical evidence for both uses is mixed. It is regulated as a food supplement in the UK under The Food Supplements (England) Regulations 2003 and cannot make hormonal or lactation treatment claims; EFSA has not issued an authorised health claim for fenugreek. Fenugreek may lower blood glucose levels and could interact with diabetes medications and anticoagulants.",/images/products/fenugreek.webp
